Grid;Row;Voxel;X;Y;Z
Origin;NA;NA;-12.5;-160;774.5
Grid_1;Row1;V1;88.86;299.75;99.49
Grid_1;Row1;V2;88.86;274.75;99.49
Grid_1;Row1;V3;88.86;249.75;99.49
Grid_1;Row1;V4;88.86;224.75;99.49
Grid_1;Row1;V5;88.86;199.75;99.49
Grid_1;Row1;V6;88.86;174.75;99.49
Grid_1;Row2;V1;98.86;299.75;99.49
Grid_1;Row2;V2;98.86;274.75;99.49
Grid_1;Row2;V3;98.86;249.75;99.49
Grid_1;Row2;V4;98.86;224.75;99.49
Grid_1;Row2;V5;98.86;199.75;99.49
Grid_1;Row2;V6;98.86;174.75;99.49
Grid_1;Row3;V1;108.86;299.75;99.49
Grid_1;Row3;V2;108.86;274.75;99.49
Grid_1;Row3;V3;108.86;249.75;99.49
Grid_1;Row3;V4;108.86;224.75;99.49
Grid_1;Row3;V5;108.86;199.75;99.49
Grid_1;Row3;V6;108.86;174.75;99.49
Grid_1;Row4;V1;118.86;299.75;99.49
Grid_1;Row4;V2;118.86;274.75;99.49
Grid_1;Row4;V3;118.86;249.75;99.49
Grid_1;Row4;V4;118.86;224.75;99.49
Grid_1;Row4;V5;118.86;199.75;99.49
Grid_1;Row4;V6;118.86;174.75;99.49
Grid_1;Row5;V1;128.86;299.75;99.49
Grid_1;Row5;V2;128.86;274.75;99.49
Grid_1;Row5;V3;128.86;249.75;99.49
Grid_1;Row5;V4;128.86;224.75;99.49
Grid_1;Row5;V5;128.86;199.75;99.49
Grid_1;Row5;V6;128.86;174.75;99.49
Grid_1;Row6;V1;138.86;299.75;99.49
Grid_1;Row6;V2;138.86;274.75;99.49
Grid_1;Row6;V3;138.86;249.75;99.49
Grid_1;Row6;V4;138.86;224.75;99.49
Grid_1;Row6;V5;138.86;199.75;99.49
Grid_1;Row6;V6;138.86;174.75;99.49
Grid_1;Row7;V1;148.86;299.75;99.49
Grid_1;Row7;V2;148.86;274.75;99.49
Grid_1;Row7;V3;148.86;249.75;99.49
Grid_1;Row7;V4;148.86;224.75;99.49
Grid_1;Row7;V5;148.86;199.75;99.49
Grid_1;Row7;V6;148.86;174.75;99.49
Grid_1;Row8;V1;158.86;299.75;99.49
Grid_1;Row8;V2;158.86;274.75;99.49
Grid_1;Row8;V3;158.86;249.75;99.49
Grid_1;Row8;V4;158.86;224.75;99.49
Grid_1;Row8;V5;158.86;199.75;99.49
Grid_1;Row8;V6;158.86;174.75;99.49
Grid_1;Row9;V1;168.86;299.75;99.49
Grid_1;Row9;V2;168.86;274.75;99.49
Grid_1;Row9;V3;168.86;249.75;99.49
Grid_1;Row9;V4;168.86;224.75;99.49
